artist_id,artist_name,genres,popularity,followers
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"['modern rock', 'rock']",87,41005280
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",75,10193928
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",73,11472494
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",68,2869216
4ScCswdRlyA23odg9thgIO,Jess Glynne,"['australian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",71,2774474
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",84,25479867
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['detroit hip hop', 'hip hop', 'rap']",89,57092390
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"['dance pop', 'pop']",86,41551459
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",73,3193452
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,"['melodic rap', 'rap', 'trap']",81,7739679
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",74,3053364
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",87,11780538
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"['dance pop', 'pop']",89,20138283
5INjqkS1o8h1imAzPqGZBb,Tame Impala,"['australian psych', 'neo-psychedelic']",77,5774419
4WZGDpNwrC0vNQyl9QzF7d,Capital Bra,['german hip hop'],71,4289244
5uYe4bcAXlMP7d4mrOYkML,Niack,"['funk carioca', 'funk mtg']",52,387830
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,17219937
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'rap']",89,17656054
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",82,6439764
23fqKkggKUBHNkbKtXEls4,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",79,8076048
49tQo2QULno7gxHutgccqF,LANY,"['la pop', 'pop']",74,4784041
2Im8m4STDBosjfmb5hmP80,Loredana,"['frauenrap', 'german hip hop', 'kosovan pop', 'romanian pop']",64,1092527
06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],92,55122988
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",87,10865070
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",84,13511684
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",77,5749245
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",86,16211487
3e7awlrlDSwF3iM0WBjGMp,Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",77,10480000
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",91,46564928
20sxb77xiYeusSH8cVdatc,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,6291905
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap']",81,6708034
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop']",90,62765388
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",71,4650579
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"['k-pop', 'k-pop boy group']",92,51803693
