track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
5aAx2yezTd8zXrkmtKl66Z,0.594,0.134,186.054,0.282,0.165,3.49e-06,0.681,7,230453,-7.028,1,0.535
7BKLCZ1jbUBVqRi2FVlTVw,0.524,0.111,95.01,0.0338,0.414,0,0.748,8,244960,-5.599,1,0.661
5knuzwU65gJK7IF5yJsuaW,0.763,0.18,101.965,0.0523,0.406,0,0.72,9,251088,-4.068,0,0.742
4pdPtRcBmOSQDlJ3Fk945m,0.718,0.122,199.864,0.0576,0.0784,1.02e-05,0.476,8,205947,-5.309,1,0.142
3NdDpSvN911VPGivFlV5d0,0.451,0.325,117.973,0.0585,0.0631,1.3e-05,0.735,0,245200,-8.374,1,0.0862
5MFzQMkrl1FOOng9tq6R9r,0.623,0.0975,100.048,0.08,0.338,0,0.783,7,214480,-6.126,1,0.447
343YBumqHu19cGoGARUTsd,0.481,0.176,134.007,0.287,0.105,0,0.928,9,210937,-9.35,0,0.613
5uCax9HTNlzGybIStD3vDh,0.557,0.0902,85.043,0.059,0.695,0,0.358,10,211467,-7.398,1,0.494
6b8Be6ljOzmkOmFslEb23P,0.803,0.153,106.97,0.0797,0.034,0,0.818,1,225983,-4.282,1,0.632
5GXAXm5YOmYT0kL5jHvYBt,0.819,0.0679,92.99,0.118,0.426,0,0.773,0,269187,-5.946,0,0.585
6fujklziTHa8uoM5OQSfIo,0.632,0.128,145.926,0.0649,0.142,0,0.794,0,291893,-6.163,1,0.355
1xznGGDReH1oQq0xzbwXa3,0.619,0.351,103.989,0.0532,0.00784,0.00423,0.791,1,173987,-5.886,1,0.371
6mICuAdrwEjh6Y6lroV2Kg,0.773,0.159,102.034,0.0776,0.187,3.05e-05,0.852,8,195840,-2.921,0,0.907
6DNtNfH8hXkqOX1sjqmI7p,0.798,0.156,92.943,0.0432,0.0736,0,0.608,6,185352,-5.092,0,0.501
78rIJddV4X0HkNAInEcYde,0.838,0.159,104.998,0.0362,0.0604,0.000611,0.67,0,222041,-4.031,1,0.717
04DwTuZ2VBdJCCC5TROn7L,0.485,0.337,133.889,0.0406,0.0592,0,0.49,4,195840,-6.237,0,0.196
4Km5HrUvYTaSUfiSGPJeQR,0.666,0.123,127.079,0.244,0.0611,0,0.926,11,343150,-5.314,1,0.168
4pLwZjInHj3SimIyN9SnOz,0.738,0.292,159.145,0.247,0.0408,0,0.648,6,226160,-5.883,0,0.603
3EmmCZoqpWOTY1g2GBwJoR,0.932,0.0574,114.991,0.0824,0.00383,1.5e-06,0.647,11,198774,-3.515,1,0.374
1qOLh0tI7trd1zdDKxYZTe,0.633,0.102,99.721,0.126,0.371,0,0.636,4,181880,-4.23,1,0.512
1PSBzsahR2AKwLJgx8ehBj,0.691,0.185,137.853,0.146,0.214,0,0.697,2,239293,-4.757,1,0.305
4TZy1wLyHec06pwgFYDh1a,0.68,0.11,147.734,0.117,0.137,0,0.469,11,208733,-4.921,0,0.374
1vvNmPOiUuyCbgWmtc6yfm,0.913,0.161,119.986,0.0426,0.093,3.69e-05,0.818,4,219160,-3.06,0,0.536
2rizacJSyD9S1IQUxUxnsK,0.586,0.115,90.0,0.0307,0.097,0.00272,0.662,0,194080,-8.821,1,0.296
0QsvXIfqM0zZoerQfsI9lm,0.859,0.137,159.797,0.197,0.16,0.00466,0.542,11,208053,-5.651,1,0.403
4Hf7WnR761jpxPr5D46Bcd,0.803,0.114,166.018,0.246,0.123,0,0.624,10,187973,-4.105,0,0.821
