,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",43223596,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",39114724,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",36492185,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Levitating (feat. DaBaby)","Dua Lipa",29239983,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
5,"Astronaut In The Ocean","Masked Wolf",25376314,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Leave The Door Open","Bruno Mars",24895348,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,Fiel,"Los Legendarios",23380965,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,RAPSTAR,"Polo G",22982223,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Your Power","Billie Eilish",22582562,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
10,"Pareja Del Año","Sebastian Yatra",21772431,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",21717022,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
12,"deja vu","Olivia Rodrigo",20976757,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,AM,"Nio Garcia",19112522,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
14,"drivers license","Olivia Rodrigo",18993754,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,18527417,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
16,"Blinding Lights","The Weeknd",18130989,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",17802950,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
18,"Heartbreak Anniversary",Giveon,17476239,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
19,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",17348179,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
20,telepatía,"Kali Uchis",16887648,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
21,"i n t e r l u d e","J. Cole",16857118,https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx
22,"Botella Tras Botella","Gera MX",16515094,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
23,"The Business",Tiësto,16418072,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
24,DÁKITI,"Bad Bunny",16123125,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
25,Runaway,AURORA,15282614,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
26,"Hold On","Justin Bieber",14141095,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
27,"Save Your Tears","The Weeknd",13869923,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,Up,"Cardi B",13434554,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
29,"Mood (feat. iann dior)",24kGoldn,12903142,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
30,"Heat Waves","Glass Animals",12659375,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
31,"Your Love (9PM)",ATB,12508021,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,Arcade,"Duncan Laurence",12416990,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
33,"EL MAKINON","KAROL G",12355680,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
34,Bandido,"Myke Towers",12353484,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
35,"Watermelon Sugar","Harry Styles",12238938,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,Streets,"Doja Cat",12084777,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
37,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",11991957,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
38,"Goosebumps - Remix","Travis Scott",11933715,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
39,"Higher Power",Coldplay,11713497,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
40,Dynamite,BTS,11444641,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
41,911,Sech,11351578,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
42,"Don't Start Now","Dua Lipa",11214633,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
43,BED,"Joel Corry",11159150,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
44,"Someone You Loved","Lewis Capaldi",11155377,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
45,"LA NOCHE DE ANOCHE","Bad Bunny",10811800,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
46,"Calling My Phone","Lil Tjay",10328271,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
47,"Head & Heart (feat. MNEK)","Joel Corry",10164550,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
48,"WITHOUT YOU","The Kid LAROI",10109287,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
49,"Talking to the Moon","Bruno Mars",10104741,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
50,"We're Good","Dua Lipa",9887089,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
51,positions,"Ariana Grande",9421096,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
52,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",9283091,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
53,Rasputin,Majestic,9165409,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
54,"Sweater Weather","The Neighbourhood",9040749,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
